passenger_id,first_name,last_name,gender,dob,nationality,frequent_flyer_status,ff_points,typical_flight_freq_per_year
P0061600192,Robert,Strickland,O,1970-03-29,Namibia,Platinum,193868,20
P0061600193,Carl,Long,O,1972-03-31,Cyprus,None,0,2
P0061600194,Stacey,Sims,M,1952-03-15,Yemen,Silver,14251,4
P0061600195,Kenneth,Bryant,F,1989-03-01,Saudi Arabia,Gold,26607,15
P0061600196,Sarah,Foster,M,1971-04-20,Ghana,Silver,14091,5
P0061600197,Abigail,Hoffman,F,2006-09-16,Israel,Silver,18192,5
P0061600198,Christina,Brooks,F,1977-10-25,Afghanistan,Silver,10648,3
P0061600199,Charles,Gregory,O,1972-03-01,New Zealand,None,0,0
P0061600200,Sarah,Rogers,F,1961-08-07,Maldives,None,0,0
P0061600201,Dominique,Mathews,F,1969-11-06,United States of America,None,0,2
P0061600202,Felicia,Diaz,F,1977-04-10,Saint Barthelemy,Silver,16220,3
P0061600203,Joseph,Martinez,O,1950-12-08,Colombia,None,0,2
P0061600204,Olivia,Gonzales,O,1977-03-17,Reunion,None,0,2
P0061600205,Roberto,Lucas,F,1981-09-06,Cape Verde,None,0,1
P0061600206,Alyssa,Gordon,F,1981-06-23,Heard Island and McDonald Islands,Gold,48493,5
P0061600207,Todd,Rodriguez,O,1965-08-28,Reunion,None,0,1
P0061600208,Brett,Vega,F,1959-06-12,Romania,None,0,1
P0061600209,Angelica,Cooper,M,1994-03-28,Swaziland,None,0,1
P0061600210,Andrea,Hill,O,1955-03-02,China,Platinum,113272,10
P0061600211,Melissa,Mckenzie,O,1973-06-10,Zimbabwe,None,0,2
P0061600212,David,Fischer,F,2007-07-16,Sierra Leone,None,0,1
P0061600213,Chelsey,Kennedy,O,1983-04-17,Czech Republic,Silver,18402,3
P0061600214,Susan,Schneider,O,1997-02-02,Samoa,None,0,2
P0061600215,Carol,Hess,M,1956-11-07,Turkmenistan,None,0,1
P0061600216,Cynthia,Wolf,O,1947-06-25,Germany,None,0,2
P0061600217,Steven,Miller,F,1945-12-04,Uruguay,None,0,1
P0061600218,David,Gonzalez,O,1972-03-26,United Arab Emirates,None,0,0
P0061600219,Brandon,Barajas,F,1946-03-13,Sao Tome and Principe,None,0,1
P0061600220,Matthew,Williams,F,2002-08-20,Lao People's Democratic Republic,None,0,2
P0061600221,Danielle,Herman,O,1986-05-26,Saint Martin,None,0,2
P0061600222,Charles,Rogers,M,2000-12-21,Slovenia,None,0,2
P0061600223,Monica,Martin,O,2001-11-29,Azerbaijan,None,0,2
P0061600224,Zachary,Hansen,M,1999-10-14,Isle of Man,None,0,1
P0061600225,Roger,Robbins,F,1957-05-02,France,None,0,1
P0061600226,Bruce,Burgess,M,2007-04-21,Qatar,None,0,1
P0061600227,Teresa,Garza,O,2005-08-28,Montserrat,Silver,13881,3
P0061600228,Roger,Brown,M,1944-02-12,Israel,Silver,19893,4
P0061600229,Russell,Pierce,F,1968-11-24,Moldova,None,0,1
P0061600230,Justin,Sullivan,O,1968-02-21,Argentina,None,0,2
P0061600231,Richard,Bass,M,1986-05-30,North Macedonia,None,0,2
P0061600232,Kelly,Hall,M,1948-09-02,Svalbard & Jan Mayen Islands,None,0,0
P0061600233,Lauren,Carlson,O,2000-06-02,Kuwait,None,0,2
P0061600234,Justin,Moore,O,1954-08-14,Philippines,Silver,15200,4
P0061600235,Charles,Foster,M,1954-02-15,Honduras,Gold,43556,5
P0061600236,Kelly,Rice,M,1998-09-29,Cayman Islands,None,0,1
P0061600237,Sherry,Turner,O,1956-03-30,Sudan,Silver,17576,4
P0061600238,Jerry,Summers,M,1948-05-14,Liechtenstein,Gold,43431,5
P0061600239,Meredith,Mendoza,F,1973-02-13,Kyrgyz Republic,None,0,1
P0061600240,Raven,Barton,O,1960-04-08,Madagascar,None,0,1
P0061600241,Cheryl,Walker,F,1963-12-11,Montserrat,None,0,1
P0061600242,Jacob,Cunningham,O,1947-08-12,Chile,None,0,1
P0061600243,Michael,Bentley,O,1974-08-10,Italy,None,0,1
P0061600244,Melanie,Ryan,O,1978-10-20,French Guiana,None,0,1
P0061600245,Kathleen,Lang,F,1944-08-30,Barbados,None,0,1
P0061600246,Elaine,Brown,M,1984-07-06,Kyrgyz Republic,Gold,54992,5
P0061600247,James,Hill,O,1958-05-26,American Samoa,Silver,12406,2
P0061600248,Blake,Morris,F,1991-11-11,Cambodia,Silver,15262,4
P0061600249,Benjamin,Blevins,M,1959-04-04,Ireland,Silver,8010,3
P0061600250,Mary,Ruiz,M,1987-10-28,Brazil,None,0,1
P0061600251,Melissa,Smith,O,1942-07-04,Malawi,None,0,1
P0061600252,Austin,Robinson,F,1991-10-28,Egypt,None,0,1
P0061600253,Joshua,Castillo,M,1991-09-23,Bouvet Island (Bouvetoya),None,0,2
P0061600254,Whitney,Hardy,F,1954-09-10,Slovakia (Slovak Republic),None,0,0
P0061600255,Alice,Cox,M,1988-05-10,Kazakhstan,Gold,40710,10
P0061600256,Gregory,Daniel,F,1945-03-26,Ecuador,Silver,5835,2
P0061600257,Ralph,Bond,F,1958-06-25,Belarus,None,0,1
P0061600258,Amanda,Hernandez,O,1983-11-15,Cyprus,None,0,1
P0061600259,Jenna,Ortiz,O,1963-10-18,Israel,None,0,0
P0061600260,Sarah,Martinez,M,1966-10-17,Cameroon,None,0,2
P0061600261,Linda,Martinez,O,1994-01-11,South Georgia and the South Sandwich Islands,None,0,2
P0061600262,Deborah,Miller,F,1995-11-08,Brunei Darussalam,Silver,9078,3
P0061600263,Kenneth,Barnes,F,1993-04-10,Russian Federation,None,0,1
P0061600264,John,Johnson,M,2001-01-27,Swaziland,Silver,8793,4
P0061600265,Warren,Peterson,O,2005-01-05,Togo,None,0,1
P0061600266,Dawn,Mason,M,1997-11-04,Marshall Islands,None,0,2
P0061600267,Samuel,Powell,F,1963-07-14,Paraguay,Gold,36153,5
P0061600268,April,Holmes,F,1991-12-08,Ghana,None,0,1
P0061600269,Faith,Dalton,F,1971-07-01,Botswana,None,0,2
P0061600270,Jennifer,Dawson,O,1961-02-21,Peru,None,0,1
P0061600271,William,Ali,O,1953-05-21,Greenland,None,0,1
P0061600272,Ruben,Jimenez,O,1998-06-26,Jersey,None,0,0
P0061600273,Curtis,Dickson,F,1981-05-28,French Polynesia,None,0,1
P0061600274,Danielle,Gallagher,M,1986-05-28,Estonia,Silver,6419,3
P0061600275,Manuel,Howard,F,1994-05-10,Hong Kong,None,0,2
P0061600276,Elizabeth,Chase,M,1960-03-22,Sri Lanka,None,0,1
P0061600277,Danny,Brewer,F,1960-03-03,Australia,None,0,1
P0061600278,Debra,Brown,M,1948-05-14,American Samoa,None,0,1
P0061600279,Wanda,Johnson,F,1953-11-06,Spain,Silver,6094,3
P0061600280,Daniel,Galloway,O,2002-05-15,Comoros,Silver,11816,3
P0061600281,Ashley,Fields,M,1958-09-04,Korea,None,0,1
P0061600282,David,Ramirez,O,1941-08-06,Tonga,None,0,0
P0061600283,Barbara,Swanson,M,1964-04-26,Indonesia,Silver,9851,2
P0061600284,Steven,Rowland,F,2004-10-25,Seychelles,None,0,0
P0061600285,Wesley,Wright,O,1981-09-30,Nepal,None,0,1
P0061600286,Mike,Cooper,F,1999-01-20,Martinique,Silver,17118,2
P0061600287,Cindy,Alexander,F,1965-01-31,Saint Barthelemy,None,0,1
P0061600288,Joe,Lopez,M,1989-10-08,Lithuania,Gold,42935,15
P0061600289,Sharon,Hughes,O,1993-01-22,Finland,None,0,1
P0061600290,James,Ryan,M,1940-10-28,Christmas Island,None,0,2
P0061600291,Ryan,Morrow,F,1974-02-01,Greece,None,0,1
P0061600292,Jeffrey,Campbell,O,1964-01-06,Marshall Islands,None,0,1
P0061600293,Jessica,Tapia,F,1992-09-12,Norfolk Island,None,0,2
P0061600294,David,Davis,M,1974-09-08,Portugal,None,0,1
P0061600295,Lisa,Harris,F,1988-01-16,Dominica,None,0,1
P0061600296,Nathan,Mills,F,1946-08-09,Puerto Rico,Silver,13879,5
P0061600297,Sarah,Padilla,O,1942-03-28,Eritrea,Silver,13344,5
P0061600298,Cathy,Cox,M,1970-12-17,Saint Kitts and Nevis,None,0,1
P0061600299,Robert,Page,O,1951-02-08,Dominica,None,0,1
P0061600300,Manuel,Allen,F,1971-03-14,Denmark,None,0,2
P0061600301,Cynthia,Young,M,1978-11-24,Ukraine,None,0,0
P0061600302,Mary,Williams,O,1990-09-17,Cyprus,None,0,0
P0061600303,James,Stone,O,2001-04-04,Bosnia and Herzegovina,None,0,1
P0061600304,Robert,Daniels,F,1985-01-05,Korea,None,0,1
P0061600305,Shannon,Hill,M,2004-05-16,New Zealand,None,0,2
P0061600306,Amber,Taylor,O,1979-06-25,Bouvet Island (Bouvetoya),Platinum,145532,40
P0061600307,Melanie,Walter,M,1981-09-17,Egypt,None,0,0
P0061600308,Jacob,Morris,M,1951-06-27,Argentina,None,0,1
P0061600309,Bruce,Bauer,M,1955-12-14,Togo,Gold,53775,10
P0061600310,Veronica,Ross,O,1967-07-25,Montenegro,None,0,1
P0061600311,Richard,Patrick,O,2005-09-27,Lao People's Democratic Republic,Silver,5668,3
P0061600312,Sheri,Mcdonald,F,1971-10-12,Tanzania,None,0,0
P0061600313,Kelly,Hall,F,1966-12-25,Cameroon,None,0,2
P0061600314,Megan,Morales,F,1997-05-09,Turkmenistan,None,0,0
P0061600315,Daniel,Barnes,O,1943-04-27,Iraq,None,0,0
P0061600316,James,Bennett,F,1974-05-26,Belgium,None,0,1
P0061600317,Michael,Weaver,M,1963-04-26,Guyana,None,0,1
P0061600318,Joy,Young,F,1978-07-20,Niue,None,0,2
P0061600319,Chase,Anderson,M,1958-09-27,Svalbard & Jan Mayen Islands,None,0,1
P0061600320,Shawn,Garcia,M,1966-12-10,Costa Rica,None,0,1
P0061600321,Chris,Russo,F,1959-05-17,Chad,Silver,9243,5
P0061600322,Kelly,Ellis,F,1977-06-04,Gibraltar,None,0,0
P0061600323,Shannon,Palmer,O,1950-04-11,Latvia,Silver,6587,4
P0061600324,Jamie,Price,F,1998-12-18,Norfolk Island,Silver,17969,5
P0061600325,Daniel,Wright,F,1978-09-03,Fiji,None,0,1
P0061600326,John,Hunt,M,1962-09-17,Micronesia,None,0,1
P0061600327,Christina,Jackson,O,1947-07-22,Estonia,Silver,5163,4
P0061600328,Anthony,Morse,F,1967-06-20,Heard Island and McDonald Islands,None,0,1
P0061600329,Dennis,Perez,O,1953-04-13,Trinidad and Tobago,Gold,42577,5
P0061600330,Eric,Mathews,M,2007-06-14,Ghana,None,0,0
P0061600331,Dominique,Williams,O,1940-04-12,Senegal,None,0,1
P0061600332,Brendan,Lee,F,1973-03-18,Ethiopia,None,0,1
P0061600333,Cindy,Gutierrez,O,2005-11-16,Seychelles,None,0,0
P0061600334,Dawn,Berg,F,2001-02-16,Portugal,None,0,1
P0061600335,Benjamin,Kelly,M,1954-10-17,Trinidad and Tobago,Silver,16498,3
P0061600336,Ashley,Stout,O,2004-03-10,Bermuda,None,0,0
P0061600337,Katherine,Fox,M,1956-09-25,Thailand,None,0,2
P0061600338,Michelle,Walker,M,1996-10-03,French Southern Territories,None,0,2
P0061600339,Justin,Owens,O,1969-05-20,Colombia,None,0,1
P0061600340,Keith,Davis,F,1968-08-28,Croatia,None,0,1
P0061600341,Christopher,Martinez,F,1946-06-23,Saint Helena,Gold,42210,10
P0061600342,Pamela,Walters,M,1995-09-30,Belarus,None,0,2
P0061600343,Michelle,Anderson,O,1961-08-07,Italy,None,0,2
P0061600344,Melinda,Wise,F,1994-10-06,Russian Federation,None,0,0
P0061600345,Elizabeth,Griffith,F,1976-07-26,Kazakhstan,None,0,1
P0061600346,Sabrina,Howell,F,1975-04-03,Rwanda,Silver,17175,4
P0061600347,Bill,Carter,M,1967-05-30,Christmas Island,None,0,1
P0061600348,Monica,Garcia,M,1988-05-16,Serbia,None,0,0
P0061600349,Kimberly,Lambert,M,1994-03-10,Czech Republic,None,0,0
P0061600350,Yesenia,Dalton,O,1957-09-30,Myanmar,None,0,1
P0061600351,Patricia,Smith,M,1992-09-17,Turkmenistan,None,0,1
P0061600352,Bianca,Davis,M,1964-12-09,Chad,None,0,1
P0061600353,Sandra,Patel,M,2002-06-20,Cook Islands,None,0,2
P0061600354,Brianna,Zamora,O,1974-09-28,Algeria,Silver,9347,5
P0061600355,Danny,Rivas,F,1946-06-29,Heard Island and McDonald Islands,Silver,15623,3
P0061600356,Tyler,Scott,F,1969-05-26,Netherlands Antilles,None,0,0
P0061600357,Michael,Schmitt,O,1953-12-27,Montserrat,None,0,1
P0061600358,Eric,Bean,M,1996-10-11,Bolivia,Silver,10992,4
P0061600359,Joshua,Dennis,O,2003-08-27,Papua New Guinea,None,0,0
P0061600360,John,Keller,O,1958-06-25,Haiti,None,0,2
P0061600361,Cindy,Bennett,O,1960-10-07,Christmas Island,None,0,2
P0061600362,Kelsey,Mendez,O,1993-03-23,Kiribati,None,0,1
P0061600363,Latasha,Burke,O,1993-10-08,Bahamas,Silver,6182,3
P0061600364,Jill,Richards,F,1991-12-26,Bosnia and Herzegovina,None,0,0
P0061600365,Lori,Rodgers,F,1975-09-13,Paraguay,Silver,12255,5
P0061600366,Monique,Johnson,O,1944-09-12,Latvia,Gold,28262,10
P0061600367,Christina,Hughes,F,1974-03-19,Japan,None,0,0
P0061600368,Kelsey,Holmes,M,1995-05-07,North Macedonia,None,0,2
